pubid,prwp_id,date,author,title,year,journal,number,cites,cid,cites2003,cites2004,cites2005,cites2006,cites2007,cites2008,cites2009,cites2010,cites2011,cites2012,cites2013,cites2014,cites2015,cites2016,cites2017,cites2018,cites2019,cites2020,cites2021,cites2022
-f6ydRqryjwC,3970,2006-07-01,Xavier Giné; Inessa Love,Do Reorganization Costs Matter for Efficiency? Evidence from a Bankruptcy Reform in Colombia,2006,The Journal of Law and Economics,"53 (4), 833-864",62,"4952317673161191718,12229245651646798972,840932325608114515",,,,,2,2,3,5,9,4,3,5,5,2,5,6,2,3,5,
0EnyYjriUFMC,3734,2005-10-01,Xavier Giné,Cultivate or Rent Out? Land Security in Rural Thailand,2005,Land Security in Rural Thailand (October,2005). World Bank Policy Research …,48,"8340143096667082629,9872002995522967829,9450794996659876668",,,3,3,6,3,2,2,4,2,5,2,4,1,3,5,0,1,1,
4fGpz3EwCPoC,8270,2017-12-01,Xavier Giné; Ghazala Mansuri; Slesh A. Shrestha,Mission and the Bottom Line Performance Incentives in a Multi-Goal Organization,2017,The Review of Economics and Statistics,1-45,11,"1922159249712266602,10904404532553171352",,,,,,,,,,,,,,,,3,4,0,4,
5MTHONV0fEkC,4824,2009-01-01,Adeline Delavande; Xavier Giné; David McKenzie,Measuring Subjective Expectations in Developing Countries: A Critical Review and New Evidence,2009,"","",3,11451670491740037594,,,,,,,,,1,0,1,0,0,1,,,,,,
5nxA0vEk-isC,3665,2005-07-01,Xavier Giné; Stefan Klonner,Credit Constraints as a Barrier to Technology Adoption by the Poor: Lessons from South Indian Small- Scale Fishery,2005,Globalization and the Poor in Asia,221-249,60,5256749441597107260,,,,,2,3,1,4,4,3,3,2,2,7,12,5,1,3,5,2
7BrZ7Jt4UNcC,7820,2016-09-01,Xavier Giné; Monica Martinez-Bravo; Marian Vidal-Fernández,Are Labor Supply Decisions Consistent with Neoclassical Preferences? Evidence from Indian Boat Owners,2016,Journal of Economic Behavior & Organization,"142, 331-347",19,3042543948814094638,,,,,,,,,,,,,,,1,2,7,3,6,
7PzlFSSx8tAC,6093,2012-06-01,Xavier Giné; Jessica Goldberg; Dan Silverman; Dean Yang,Revising Commitments: Field Evidence on the Adjustment of Prior Choices,2012,The Economic Journal,"128 (608), 159-188",166,"16407929312336942987,4674284375106847715,12240820520678553565",,,,,,,,,3,7,7,18,20,22,20,16,8,24,20,
7wO8s98CvbsC,7998,2017-03-01,Xavier Giné; Nídia García; José Gómez-González,Financial Information in Colombia,2017,"","",2,16396447760937088905,,,,,,,,,,,,,,,,1,1,,,
8d8msizDQcsC,5692,2011-06-01,Xavier Giné ; Ghazala Mansuri,Together We Will: Experimental Evidence on Female Voting Behavior in Pakistan,2011,American Economic Journal: Applied Economics,"10 (1), 207-35",180,"5802790685687065985,16251022217064113224",,,,,,,,,6,6,11,18,8,16,23,14,24,25,21,4
9yKSN-GCB0IC,4008,2006-09-01,Xavier Giné; Dean S. Karlan,Group versus Individual Liability A Field Experiment in the Philippines,2006,World Bank Publications,"",155,8038495914317965334,,,,6,9,17,9,10,12,25,19,5,9,4,6,4,7,3,4,
ALROH1vI_8AC,9367,2020-08-01,Carolina Corral; Xavier Giné; Aprajit Mahajan; Enrique Seira,Autonomy and Specificity in Agricultural Technology Adoption: Evidence from Mexico,2020,National Bureau of Economic Research,"",5,7058802042075111417,,,,,,,,,,,,,,,,,,,1,3
ClCfbGk0d_YC,7984,2017-02-01,Robert Cull; Xavier Gine; Sven Harten; Anca Bogdana Rusu,Agent Banking in a Highly Under-Developed Financial Sector: Evidence from the Democratic Republic of Congo,2017,World Bank Policy Research Working Paper,"",0,,,,,,,,,,,,,,,,,,,,,
Ehil0879vHcC,8925,2019-06-01,Xavier Giné; Bernardo Ribeiro; Peter Wrede,"Beyond the S-curve: Insurance Penetration, Institutional Quality and Financial Market Development",2019,World Bank Policy Research Working Paper,"",4,14152109190014399351,,,,,,,,,,,,,,,,,,1,3,
FPJr55Dyh1AC,7750,2016-07-01,Xavier Giné; Rafael Keenan Mazer;,Financial (Dis-)Information: Evidence from a Multi-Country Audit Study ,2016,World Bank Policy Research Working Paper,"",12,6802466242480826436,,,,,,,,,,,,,,,4,0,1,4,1,
LI9QrySNdTsC,8417,2018-04-01,Sinja Buri; Robert Cull; Xavier Giné; Sven Harten; Soren Heitmann,Banking with Agents: Experimental Evidence from Senegal,2018,"","",0,,,,,,,,,,,,,,,,,,,,,
LkGwnXOMwfcC,5459,2010-10-01,Xavier Giné ; Lev Menand; Robert Townsend; James Vickery,Microinsurance: A Case Study of the Indian Rainfall Index Insurance Market,2010,Handbook of the Indian economy,167-94,121,16918774263124325898,,,,,,,,,10,12,11,8,11,12,14,9,11,13,6,2
MhiOAD_qIWkC,8313,2018-01-01,Xavier Giné; Salma Khalid; Ghazala Mansuri,The Impact of Social Mobilization on Health Service Delivery and Health Outcomes Evidence from Rural Pakistan,2018,Towards Gender Equity in Development,237-25,0,,,,,,,,,,,,,,,,,,,,,
S16KYo8Pm5AC,8576,2018-09-01,Xavier Gine ; Jessica Goldberg,Endowment Effects and Usage of Financial Products: Field Evidence from Malawi,2018,Working Paper,"",11,"13482963715156480346,17281021146572610173",,,,,,,,,,,,,,,1,4,3,1,2,
SP6oXDckpogC,6009,2012-03-01,Francesca de Nicola; Xavier Gine,How Accurate Are Recall Data? Evidence From Coastal India,2012,Journal of Development Economics,"106, 52-65",117,"9231672242181903710,16579980661101270188",,,,,,,,,,2,5,6,13,23,9,21,12,12,12,2
HE397vMXCloC,5504,2010-12-01,Shawn Cole; Xavier Giné; Jeremy Tobacman; Petia Topalova; Robert Townsend; James Vickery,Barriers to Household Risk Management:  Evidence from India,2010,American Economic Journal: Applied Economics,"5 (1), 104-35",1005,15844689789906186433,,,,,,,,,,61,55,83,86,95,102,105,110,112,95,10
TQgYirikUcIC,6020,2012-04-01,Xavier Giné; Ghazala Mansuri; Mario Picón,Does a Picture Paint a Thousand Words? Evidence from a Microcredit Marketing Experiment,2012,the world bank economic review,"25 (3), 508-542",17,1204013583652001297,,,,,,,,1,1,0,2,2,1,1,0,2,3,3,1,
