prwp_id,date,author,title,year,ssrn_downloads,ssrn_id,okr_downloads,okr_abstract_views,okr_handle,dandr_downloads,total_downloads
1,1988-03-01,Cristian Moran,Imports under a Foreign Exchange Constraint,1988,NA,NA,NA,NA,NA,666,666
2,1988-03-01,Vinod Thomas,Issues in Adjustment Lending,1988,10,2848446,NA,NA,NA,462,472
3,1988-03-01,Jaime de Melo,CGE Models for the Analysis of Trade Policy in Developing Countries,1988,219,2470229,NA,NA,NA,711,930
4,1988-04-01,Miguel A. Kiguel; Nissan Liviatan,Inflationary Rigidities and Stabilization Policies,1988,NA,NA,NA,NA,NA,794,794
5,1988-04-01,Angus Maddison; Bart van Ark,Comparisons of Real Output  in Manufacturing,1988,NA,NA,NA,NA,NA,1285,1285
6,1988-04-01,Steven Haggblade; Peter B. Hazell; James Brown,Farm-Nonfarm Linkages in Rural Sub-Saharan Africa,1988,NA,NA,NA,NA,NA,1104,1104
7,1988-04-01,Avishay Braverman; J. Luis Guasch,Institutional Aspects of Credit Cooperatives,1988,NA,NA,NA,NA,NA,434,434
8,1988-04-01,Steven Haggblade; Peter B. Hazell,Prospects for Equitable Growth  in Rural Sub-Saharan Africa,1988,NA,NA,NA,NA,NA,645,645
9,1988-06-01,Andrea Boltho,Can We Return to Rapid Growth?,1988,123,1456507,NA,NA,NA,357,480
10,1988-06-01,Mudassar Imran; Ron Duncan,Optimal Export Taxes for Exporters of Perennial Crops,1988,NA,NA,NA,NA,NA,472,472
11,1988-06-01,Bernhard Liese; Norman Gratz,The Selection and Use of Pesticides in Bank Financed Public Health  Projects,1988,NA,NA,NA,NA,NA,436,436
12,1988-06-01,Andre Komenan; Christiaan Grootaert,Teacher-Nonteacher Pay Differences in Côte d’Ivoire,1988,NA,NA,NA,NA,NA,532,532
13,1988-06-01,Trudy Harpham; Ian Timaeus,Objectives and Methods of a World Health Survey,1988,NA,NA,NA,NA,NA,493,493
14,1988-06-01,Stijn Claessens,The Optimal Currency Composition of External Debt,1988,NA,NA,NA,NA,NA,590,590
15,1988-06-01,Vijay S. Vyas; Dennis Casley,Stimulating Agricultural Growth and Rural Development in Sub-Saharan Africa,1988,NA,NA,NA,NA,NA,725,725
16,1988-06-01,Patrick Messerlin,Antidumping Laws and Developing Countries,1988,NA,NA,NA,NA,NA,539,539
17,1988-06-01,Stanley Fischer,Economic Development and the Debt Crisis,1988,NA,NA,NA,NA,NA,739,739
18,1988-06-01,Harold Noah; John Middleton,China’s Vocational and Technical  Training,1988,NA,NA,NA,NA,NA,1054,1054
19,1988-06-01,Christiaan Grootaert,Côte d’Ivoire’s Vocational and Technical Education,1988,NA,NA,NA,NA,NA,831,831
20,1988-06-01,Ramon Lopez; Vinod Thomas,Imports and Growth in Africa,1988,NA,NA,NA,NA,NA,449,449
21,1988-06-01,Jaime de Melo; Patrick Messerlin,Effects of European VERs  on Japanese Autos,1988,NA,NA,NA,NA,NA,438,438
22,1988-06-01,Jean-Paul Azam; Patrick Guillaumont; Sylviane Guillaumont,Methodological Problems in Cross- Country Analyses of Economic Growth,1988,NA,NA,NA,NA,NA,1081,1081
23,1988-07-01,Mead Over,Cost-Effective Integration  of Immunization and Basic Health Services in Developing Countries: The Problem of Joint Costs,1988,NA,NA,NA,NA,NA,502,502
24,1988-07-01,John Middleton; Terri Demsky,World Bank Investment in Vocational Education and Training,1988,NA,NA,NA,NA,NA,856,856
25,1988-07-01,Adrian Ziderman,Israel’s Vocational Training,1988,NA,NA,NA,NA,NA,401,401
26,1988-07-01,John Middleton,Changing Patterns in Vocational  Education,1988,NA,NA,NA,NA,NA,404,404
27,1988-07-01,Marlaine E. Lockheed; Bruce Fuller; Ronald Nyirongo,Family Background and Student Achievement,1988,NA,NA,NA,NA,NA,3478,3478
28,1988-06-01,Bela Balassa,Temporary Windfalls and Compensation Arrangements,1988,NA,NA,NA,NA,NA,438,438
29,1988-08-01,Emmanuel Jimenez; Marlaine E. Lockheed,The Relative Effectiveness  of Single-Sex and Coeducational  Schools in Thailand,1988,NA,NA,NA,NA,NA,1507,1507
30,1988-07-01,Bela Balassa,The Adding Up Problem,1988,NA,NA,NA,NA,NA,369,369
31,1988-08-01,Bela Balassa,Public Finance and Economic  Development,1988,NA,NA,NA,NA,NA,806,806
32,1988-07-01,Kenneth Davey,Municipal Development Funds  and Intermediaries,1988,NA,NA,NA,NA,NA,1113,1113
33,1988-07-01,John Cuddington,Fiscal Policy in Commodity- Exporting LDCs,1988,NA,NA,NA,NA,NA,776,776
34,1988-09-01,Lance Taylor,Fiscal Issues in Macroeconomic Stabilization,1988,NA,NA,NA,NA,NA,436,436
35,1988-08-01,Stephen Lister,Improving the Allocation and Management of Public Spending,1988,NA,NA,NA,NA,NA,421,421
36,1988-08-01,Douglas J. Puffert,Social Security Finance   in Developing Countries,1988,NA,NA,NA,NA,NA,4724,4724
37,1988-07-01,Brian Pinto,"Black Market Premia, Exchange Rate Unification, and Inflation in Sub-Saharan Africa",1988,NA,NA,NA,NA,NA,2232,2232
38,1988-09-01,Larry Schroeder,Intergovernmental Grants  in Developing Countries,1988,NA,NA,NA,NA,NA,655,655
39,1988-07-01,Stephen A. O’Connell,Fiscal Policy in Low-Income  Africa,1988,NA,NA,NA,NA,NA,480,480
40,1988-08-01,Eugene L. Versluysen,Financial Deregulation  and the Globalization of Capital Markets,1988,NA,NA,NA,NA,NA,5437,5437
41,1988-08-01,William Dillinger,Urban Property Taxation  in Developing Countries,1988,NA,NA,NA,NA,NA,1029,1029
42,1988-08-01,David L. Lindauer,Government Pay and  Employment Policies and Government Performance in Developing  Economies,1988,NA,NA,NA,NA,NA,576,576
43,1988-08-01,Tax Administration; Division; IMF Fiscal; Affairs Department,Tax Administration in Developing Countries: Strategies and Tools of Implementation,1988,NA,NA,NA,NA,NA,1110,1110
44,1988-09-01,David L. Lindauer,The Size and Growth  of Government Spending,1988,NA,NA,NA,NA,NA,2479,2479
45,1988-12-01,Govindan Nair; Anastasios Filippides,How Much Do State-Owned  Enterprises Contribute to Public Sector Deficits in Developing Countries and Why?,1988,NA,NA,NA,NA,NA,500,500
46,1989-01-01,Robert Lacey,The Management of Public  Expenditures: An Evolving Bank Approach,1989,NA,NA,NA,NA,NA,727,727
47,1989-03-01,Robert F. Conrad,Considerations for the Development  of Tax Policy When Capital  is Internationally Mobile,1989,NA,NA,NA,NA,NA,446,446
48,1989-08-01,Johnathan Skinner,Do Taxes Matter?  A Review  of the Effect of Taxation on Economic Behavior and Output,1989,NA,NA,NA,NA,NA,435,435
49,1989-04-01,DeAnne Julius; Adelaida P. Alicbusan,Public Sector Pricing Policies:  A Review of Bank Policy and Practice,1989,1756,1832551,NA,NA,NA,953,2709
50,1989-07-01,Celso Luiz Martone,Fiscal Policy and Stabilization in Brazil,1989,NA,NA,NA,NA,NA,415,415
51,1989-08-01,V. V. Bhatt,On Participating in the International Capital Market,1989,NA,NA,NA,NA,NA,513,513
52,1989-08-01,V. V. Bhatt,Financial Innovation and Credit Market Development,1989,NA,NA,NA,NA,NA,1222,1222
53,1989-08-01,Fernan Ibanez,Venture Capital and Entrepreneurial Development,1989,NA,NA,NA,NA,NA,1045,1045
54,1989-09-01,Andrew Sheng,"Bank Restructuring in Malaysia,  1985-88",1989,NA,NA,NA,NA,NA,1744,1744
55,1989-09-01,Bela Balassa,Financial Liberalization  in Developing Countries,1989,NA,NA,NA,NA,NA,9826,9826
56,1989-09-01,Bela Balassa,The Effects of Interest Rates  on Savings in Developing Countries,1989,NA,NA,NA,NA,NA,3135,3135
57,1990-04-01,Dimitris Antoniades; Dimitris Kouzionis,Financial Distress of Industrial Firms on the Greek Banking System,1990,NA,NA,NA,NA,NA,481,481
58,1990-03-01,Craig R. Neal,Macro-Financial Indicators for 117 Developing and Industrial Countries,1990,NA,NA,NA,NA,NA,492,492
59,NA,NA,Assigned to WDR,NA,NA,NA,NA,NA,NA,NA,0
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
61,1988-08-01,Emmanuel Jimenez; Vicente Paqueo; Ma. Lourdes de Vera,Student Performance and School  Costs in the Philippines’ High  Schools,1988,NA,NA,NA,NA,NA,1793,1793
62,1988-09-01,George I. Zarour,Universities in Arab Countries,1988,NA,NA,NA,NA,NA,522,522
63,1988-07-01,Kenji Takeuchi,Does Japan Import Less Than It Should?,1988,NA,NA,NA,NA,NA,435,435
64,1988-08-01,Takamasa Akiyama,Cocoa and Coffee Pricing Policies in Côte d’Ivoire,1988,NA,NA,NA,NA,NA,618,618
65,1988-07-01,Howard Barnum,Interaction of Infant Mortality and Fertility and the Effectiveness of Health and Family Planning Programs,1988,NA,NA,NA,NA,NA,647,647
66,1988-07-01,Anthony R. Measham; Roger W. Rochat,Slowing the Stork: Better Health for Women Through Family Planning,1988,NA,NA,NA,NA,NA,387,387
67,1988-08-01,Robert D. Weaver; Saad Ali Shire,Price and Tax Policy for Semi- Subsistence Agriculture in Ethiopia,1988,NA,NA,NA,NA,NA,451,451
68,1988-11-01,Robert van der Plas,Domestic Lighting,1988,NA,NA,NA,NA,NA,700,700
69,1988-08-01,Emmanuel Jimenez; Vicente Paqueo; Maria Lourdes de Vera,Does Local Financing Make Primary Schools More Efficient? The Philippine Case,1988,NA,NA,NA,NA,NA,454,454
70,1988-08-01,Arvil V. Adams; Antoine Schwartz,Vocational Education and Economic Environments: Conflict or Convergence?,1988,NA,NA,NA,NA,NA,482,482
71,1988-08-01,Marlaine E. Lockheed; Andre Komenan,School Effects on Student Achievement in Nigeria  and Swaziland,1988,NA,NA,NA,NA,NA,528,528
72,1988-08-01,Emmanuel Jimenez; Marlaine E. Lockheed; Vicente Paqueo,The Relative Efficiency of Public Schools in Developing Countries,1988,NA,NA,NA,NA,NA,392,392
73,1988-08-01,Jonathan Skinner,Taxation and Output Growth in Africa,1988,NA,NA,NA,NA,NA,556,556
74,1988-08-01,Andrew Feltenstein; Stephen Morris,Fiscal Stabilization and Exchange Rate Instability,1988,NA,NA,NA,NA,NA,441,441
75,1988-08-01,Shlomo Yitzhaki; Wayne Thirsk,Welfare Dominance and the Design of Excise Taxation in Côte d‘Ivoire,1988,NA,NA,NA,NA,NA,458,458
76,1988-09-01,Shlomo Yitzhaki; Yitzhak Vakneen,The Shadow Price of a Tax Inspector,1988,NA,NA,NA,NA,NA,498,498
77,1988-08-01,Bela Balassa,Incentive Policies and Agricultural Performance in Sub-Saharan Africa,1988,NA,NA,NA,NA,NA,377,377
78,1988-09-01,J. Michael Finger,"Economists, Institutions, and Trade Restrictions: A Review Article",1988,NA,NA,NA,NA,NA,338,338
79,1988-08-01,Bela Balassa,Quantitative Appraisal of Adjustment Lending,1988,NA,NA,NA,NA,NA,368,368
80,1988-09-01,Samuel Paul,Emerging Issues of Privatization and the Public Sector,1988,NA,NA,NA,NA,NA,715,715
81,1988-09-01,Richard Heaver,"Reaching People at the Periphery: Can the World Bank’s Population, Health, and Nutrition Operations Do Better?",1988,NA,NA,NA,NA,NA,414,414
82,1988-09-01,Dov Chernichovsky; Linda Zangwill,Microeconomic Theory of the Household and Nutrition Programs,1988,NA,NA,NA,NA,NA,689,689
83,1988-09-01,Jaime de Melo; David Tarr,"Welfare Costs of U.S. Quotas on Textiles, Steel, and Autos",1988,NA,NA,NA,NA,NA,826,826
84,1988-09-01,Brian Pinto,"Black Markets for Foreign Exchange, Real Exchange Rates, and Inflation: Overnight versus Gradual Reform in Sub-Saharan Africa",1988,NA,NA,NA,NA,NA,651,651
85,1988-09-01,Ramon E. Lopez; Luis A. Riveros,Wage Responsiveness and Labor Market Disequilibrium,1988,NA,NA,NA,NA,NA,386,386
86,1988-09-01,Ritu Anand; Ajay Chhibber; Sweder van Wijnbergen,"External Balance, Fiscal Policy, and Growth in Turkey",1988,NA,NA,NA,NA,NA,534,534
87,1988-10-01,Peter Moock; Rosemary Bellew,Vocational and Technical Education in Peru,1988,NA,NA,NA,NA,NA,1349,1349
88,1988-09-01,John A. Ross; Stephen L. Isaacs,"Costs, Payments, and Incentives in Family Planning Programs",1988,NA,NA,NA,NA,NA,616,616
89,1988-09-01,Taeho Bark; Jaime de Melo,"Export Quota Allocations, Export Earnings, and Market Diversifications",1988,NA,NA,NA,NA,NA,436,436
90,1988-09-01,Robert F. Conrad; Zmarak M. Shalizi,A Framework for the Analysis of Mineral Tax Policy in Sub-Saharan Africa,1988,NA,NA,NA,NA,NA,918,918
91,1988-09-01,Nissan Liviatan,Israel’s Stabilization Program,1988,NA,NA,NA,NA,NA,767,767
92,1988-09-01,Pravin K. Trivedi,"A Model of Cocoa Replanting and New Planting in Bahia, Brazil, 1966-85",1988,NA,NA,NA,NA,NA,352,352
93,1988-09-01,Susan H. Cochrane,"The Effects of Education, Health, and Social Security on Fertility in Developing Countries",1988,NA,NA,NA,NA,NA,440,440
94,1988-09-01,George Simmons; Rushikesh Maru,The World Bank’s Population Lending and Sector Review,1988,NA,NA,NA,NA,NA,469,469
95,1988-09-01,Junichi Goto,International Trade and Imperfect Competition: Theory and Application to the Automobile Trade,1988,NA,NA,NA,NA,NA,607,607
96,1988-09-01,Maureen Lewis; Genevieve Kenney,The Private Sector and Family Planning in Developing Countries,1988,NA,NA,NA,NA,NA,2059,2059
97,1988-09-01,Richard H. Snape,Export-Promoting Subsidies and What to Do About Them,1988,NA,NA,NA,NA,NA,335,335
98,1988-10-01,Agriculture and Rural; Development Staff,Diversification in Rural Asia,1988,NA,NA,NA,NA,NA,478,478
99,1988-09-01,Sam Laird; Julio Nogués,Trade Policies and the Debt Crisis,1988,NA,NA,NA,NA,NA,440,440
100,1988-09-01,Anwar Shah,Public Infrastructure and Private Sector Profitability and Productivity in Mexico,1988,NA,NA,NA,NA,NA,519,519
101,1988-10-01,Luis A. Riveros; Ricardo Paredes,Measuring the Impact of Minimum Wage Policies on the Economy,1988,NA,NA,NA,NA,NA,541,541
102,1988-10-01,Junichi Goto,Effects of the Multifibre Arrangement on Developing Countries: A Survey,1988,NA,NA,NA,NA,NA,445,445
103,1988-10-01,James R.Tybout; Taeho Bark,Industrial Portfolio Responses to Macroeconomic Shocks: An Econometric Model for Developing Countries,1988,NA,NA,NA,NA,NA,316,316
104,1988-10-01,Manuel Hinds,Economic Effects of Financial Crises,1988,NA,NA,NA,NA,NA,450,450
105,1988-10-01,Richard H. Snape,Securing Access to International Markets,1988,NA,NA,NA,NA,NA,367,367
106,1989-01-01,Edited by; Mohan Munasinghe; Robert J. Saunders,Energy Issues in the Developing World,1989,NA,NA,NA,NA,NA,527,527
107,1989-01-01,Mohan Munasinghe; Joseph Gilling; Melody Mason,A Review of World Bank Lending for Electric Power,1989,NA,NA,NA,NA,NA,952,952
108,1989-02-01,Josef Leitmann,How to Collect Data on Household Energy Consumption,1989,NA,NA,NA,NA,NA,5196,5196
109,1989-02-01,Philip Yates,Improving Power System Efficiency in Developing Countries Through Performance Contracting,1989,NA,NA,NA,NA,NA,396,396
110,1989-02-01,Ernesto Terrado; Matthew Mendis; Kevin Fitzgerald,Impact of Lower Oil Prices on Renewable Energy Technologies,1989,NA,NA,NA,NA,NA,1439,1439
111,1989-02-01,Industry and Energy; Department,Recent World Bank Activities in Energy,1989,NA,NA,NA,NA,NA,724,724
112,1989-01-01,Kay McKeough; Jose Escay; Sompheap Sem,A Visual Overview of World Oil Markets,1989,NA,NA,NA,NA,NA,586,586
113,1988-10-01,Barbara Nunberg,Public Sector Pay and Employment Reform,1988,NA,NA,NA,NA,NA,740,740
114,1988-10-01,My T. Vu; Eduard Bos; Rodolfo A. Bulatao,"Africa Region Population Projections, 1988-89 Edition",1988,NA,NA,NA,NA,NA,2792,2792
115,1988-10-01,My T. Vu; Eduard Bos; Rodolfo A. Bulatao,"Asia Region Population Projections, 1988-89 Edition",1988,NA,NA,NA,NA,NA,18053,18053
116,1988-10-01,My T. Vu; Eduard Bos; Rodolfo A. Bulatao,"Latin America and the Caribbean Region Population Projections, 1988-89 Edition",1988,NA,NA,NA,NA,NA,6237,6237
117,1988-10-01,My T. Vu; Eduard Bos; Rodolfo A. Bulatao,"Europe, Middle East, and North Africa Region Population Projections, 1988-89 Edition",1988,NA,NA,NA,NA,NA,4324,4324
118,1988-10-01,John Nellis,Contract Plans and Public Enterprise Performance,1988,NA,NA,NA,NA,NA,651,651
119,1988-10-01,Walter C. Labys,Recent Developments in Commodity Modeling: A World Bank Focus,1988,NA,NA,NA,NA,NA,1158,1158
120,1988-10-01,Ajay Chhibber; Sweder van Wijnbergen,Public Policy and Private Investment in Turkey,1988,NA,NA,NA,NA,NA,920,920
121,1988-10-01,Graham Bird,Commercial Bank Provisioning Against Claims on Developing Countries,1988,NA,NA,NA,NA,NA,384,384
122,1988-11-01,Riccardo Faini; Lant Pritchett; Fernando Clavijo,Import Demand in Developing Countries,1988,NA,NA,NA,NA,NA,1152,1152
123,1988-11-01,Riccardo Faini,"Export Supply, Capacity, and Relative Prices",1988,NA,NA,NA,NA,NA,642,642
124,1988-11-01,Robert E. King; Helena Tang,"International Macroeconomic Adjustment, 1987-1992: A World Model Approach",1988,NA,NA,NA,NA,NA,468,468
125,1988-10-01,Christophe Chamley; Qaizar Husain,"The Effects of Financial  Liberalization on Thailand, Indonesia, and the Philippines: A Quantitative Evaluation",1988,NA,NA,NA,NA,NA,1131,1131
126,1988-11-01,Samuel Paul; John C. Ickis; Jacob Levitsky,Educating Managers for Business and Government: A Review of International Experience,1988,NA,NA,NA,NA,NA,1073,1073
127,1988-11-01,Ishac Diwan,"Linking Development, Trade, and Debt Strategies in Highly Indebted Countries",1988,NA,NA,NA,NA,NA,356,356
128,1988-12-01,Ajay Chhibber; Javad Khalilzadeh-Shirazi,Public Finance in Adjustment Programs,1988,NA,NA,NA,NA,NA,417,417
129,1988-12-01,Paul Collier,Women in Development: Defining the Issues,1988,NA,NA,NA,NA,NA,868,868
130,1988-12-01,Matthew Lockwood; Paul Collier,Maternal Education and the Vicious Cycle of High Fertility and Malnutrition: An Analytic Survey,1988,NA,NA,NA,NA,NA,551,551
131,1988-12-01,George R. Zodrow; Charles E. McLure; Jr.,Implementing Direct Consumption Taxes in Developing Countries,1988,NA,NA,NA,NA,NA,1061,1061
132,1988-11-01,Daniel Cohen,Is the Discount on the Secondary Market a Case for LDC Debt Relief?,1988,NA,NA,NA,NA,NA,451,451
