pubid,prwp_id
-jrNzM816MMC,4635
0EnyYjriUFMC,4746
1paMEeroeoQC,7900
1qzjygNMrQYC,5632
1taIhTC69MYC,6157
2KloaMYe4IUC,5991
3_f9JqYsqVQC,9658
4TOpqqG69KYC,4449
4vMrXwiscB8C,6507
7wO8s98CvbsC,6896
8JTMrWI6FdcC,8339
8uzoZH4hB9AC,8541
9NZAP19TdFAC,7934
BCdnXsLIVDwC,5706
Cvh0bltMcLgC,9252
EPG8bYD4jVwC,7391
EaFouW7jFu4C,7057
FPJr55Dyh1AC,6368
FiDNX6EVdGUC,7183
FiytvqdAVhgC,6856
Fu2w8maKXqMC,6041
GJVTs2krol4C,7495
GUYAmugLYisC,8601
IExZWSxeYXUC,9408
IHkkN1K1AlAC,7064
IWHjjKOFINEC,4944
IvSMUa3B7yYC,4699
JdL-Xu2nR38C,8238
KaMxkj08jr0C,7048
KlAtU1dfN6UC,4118
KqW5X_olkfQC,5268
L_l9e5I586QC,6689
LkGwnXOMwfcC,3764
MGPUR4WVBMEC,9007
Mojj43d5GZwC,4698
Mx5hWS9ctUkC,7463
Og1tA8FjbJAC,7668
Oj-SLI0tZTcC,5550
RGFaLdJalmkC,4934
RYcK_YlVTxYC,5113
S16KYo8Pm5AC,6202
SpPTWFSNUtQC,5783
TiIbgCYny7sC,7510
Tyk-4Ss8FVUC,4229
U0iAMwwPxtsC,8011
UarirCmVI0EC,5394
W2uZP3ddy8sC,7924
WF5omc3nYNoC,4272
WHdLCjDvYFkC,3952
WWeOtg8bX_EC,7993
Wp0gIr-vW9MC,4195
XoXfffV-tXoC,6296
YFjsv_pBGBYC,5395
Zph67rFs4hoC,4965
ZysSsiWj_g4C,9133
_Qo2XoVZTnwC,4419
aqlVkmm33-oC,4138
cdwqcPQS8ssC,9415
d1gkVwhDpl0C,4230
eQOLeE2rZwMC,3745
h168fVGZblEC,8236
hFOr9nPyWt4C,5260
hHIA4WEVY-EC,6807
hqOjcs7Dif8C,4824
i91s68tWr-MC,8799
iH-uZ7U-co4C,4956
j3f4tGmQtD8C,5639
jKT558fuBk8C,9502
kNdYIx-mwKoC,3783
lRPiJ3GhvscC,9586
lSLTfruPkqcC,5668
mVC4hKzE2FoC,8977
oFn-K-OQSCAC,9614
oldoQiaHq2UC,9751
onKP9CxGSkIC,7462
oursBaop5wYC,8404
pYKElYtJMmwC,7848
qxL8FJ1GzNcC,5573
roLk4NBRz8UC,3906
rzmi0EmCOGEC,6141
s1ouQE5r0WUC,5458
sNmaIFBj_lkC,6426
u-x6o8ySG0sC,3573
uJ-U7cs_P_0C,6073
ufrVoPGSRksC,4752
vDijr-p_gm4C,6145
w0F2JDEymm0C,7405
w2UhwfzvF0QC,5269
wuD5JclIwkYC,8854
ziOE8S1-AIUC,7030
g5m5HwL7SMYC,4021
Ri6SYOTghG4C,4141
,5488
,6439
,6762
7Hz3ACDFbsoC,6835
,7521
,8271
,9539
