pubid,prwp_id,date,author_1,year_1,title,title_2,author_2,journal,number,cites,year_2,cid,tier,score,author,year
-f6ydRqryjwC,3970,2006-07-01,Xavier Giné; Inessa Love,2006,Do Reorganization Costs Matter for Efficiency? Evidence from a Bankruptcy Reform in Colombia,Do reorganization costs matter for efficiency? Evidence from a bankruptcy reform in Colombia,"X Gine, I Love",The Journal of Law and Economics,"53 (4), 833-864",62,2010,"4952317673161191718,12229245651646798972,840932325608114515",all,0.9347826086956522,Xavier Giné; Inessa Love,2006
0EnyYjriUFMC,3734,2005-10-01,Xavier Giné,2005,Cultivate or Rent Out? Land Security in Rural Thailand,Cultivate or rent out? Land security in rural Thailand,X Giné,Land Security in Rural Thailand (October,2005). World Bank Policy Research …,48,2005,"8340143096667082629,9872002995522967829,9450794996659876668",all,0.9259259259259259,Xavier Giné,2005
4fGpz3EwCPoC,8270,2017-12-01,Xavier Giné; Ghazala Mansuri; Slesh A. Shrestha,2017,Mission and the Bottom Line Performance Incentives in a Multi-Goal Organization,Mission and the Bottom Line: Performance Incentives in a Multigoal Organization,"X Giné, G Mansuri, SA Shrestha",The Review of Economics and Statistics,1-45,11,2020,"1922159249712266602,10904404532553171352",all,0.9620253164556962,Xavier Giné; Ghazala Mansuri; Slesh A. Shrestha,2017
5MTHONV0fEkC,4824,2009-01-01,Adeline Delavande; Xavier Giné; David McKenzie,2009,Measuring Subjective Expectations in Developing Countries: A Critical Review and New Evidence,Measuring Subjective Expectations in Developing Countries,"A Delavande, X Gine, D McKenzie","","",3,2009,11451670491740037594,all,0.6129032258064516,Adeline Delavande; Xavier Giné; David McKenzie,2009
5nxA0vEk-isC,3665,2005-07-01,Xavier Giné; Stefan Klonner,2005,Credit Constraints as a Barrier to Technology Adoption by the Poor: Lessons from South Indian Small- Scale Fishery,Credit constraints as a barrier to technology adoption by the poor: Lessons from South Indian small-scale fisheries,"X Gine, S Klonner",Globalization and the Poor in Asia,221-249,60,2008,5256749441597107260,all,0.8956521739130435,Xavier Giné; Stefan Klonner,2005
7BrZ7Jt4UNcC,7820,2016-09-01,Xavier Giné; Monica Martinez-Bravo; Marian Vidal-Fernández,2016,Are Labor Supply Decisions Consistent with Neoclassical Preferences? Evidence from Indian Boat Owners,Are labor supply decisions consistent with neoclassical preferences? Evidence from Indian boat owners,"X Giné, M Martinez-Bravo, M Vidal-Fernández",Journal of Economic Behavior & Organization,"142, 331-347",19,2017,3042543948814094638,all,0.9207920792079208,Xavier Giné; Monica Martinez-Bravo; Marian Vidal-Fernández,2016
7PzlFSSx8tAC,6093,2012-06-01,Xavier Giné; Jessica Goldberg; Dan Silverman; Dean Yang,2012,Revising Commitments: Field Evidence on the Adjustment of Prior Choices,Revising commitments: Field evidence on the adjustment of prior choices,"X Giné, J Goldberg, D Silverman, D Yang",The Economic Journal,"128 (608), 159-188",166,2018,"16407929312336942987,4674284375106847715,12240820520678553565",all,0.9295774647887324,Xavier Giné; Jessica Goldberg; Dan Silverman; Dean Yang,2012
7wO8s98CvbsC,7998,2017-03-01,Xavier Giné; Nídia García; José Gómez-González,2017,Financial Information in Colombia,Financial Information in Colombia,"N Garcia, X Gine, J Gomez-Gonzalez","","",2,2017,16396447760937088905,all,1,Xavier Giné; Nídia García; José Gómez-González,2017
8d8msizDQcsC,5692,2011-06-01,Xavier Giné ; Ghazala Mansuri,2011,Together We Will: Experimental Evidence on Female Voting Behavior in Pakistan,Together we will: experimental evidence on female voting behavior in Pakistan,"X Giné, G Mansuri",American Economic Journal: Applied Economics,"10 (1), 207-35",179,2018,"5802790685687065985,16251022217064113224",all,0.9090909090909091,Xavier Giné ; Ghazala Mansuri,2011
9yKSN-GCB0IC,4008,2006-09-01,Xavier Giné; Dean S. Karlan,2006,Group versus Individual Liability A Field Experiment in the Philippines,Group versus individual liability: A field experiment in the Philippines,"X Gine, DS Karlan",World Bank Publications,"",154,2006,8038495914317965334,all,0.9305555555555556,Xavier Giné; Dean S. Karlan,2006
