reference,title,ssrn_id,ssrn_downloads,ssrn_url,prwp_id
World Bank Policy Research Working Paper No. 9275,"Female Business Leaders, Business and Cultural Environment, and Productivity Around the World",3625289,105,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3625289,9275
World Bank Policy Research Working Paper No. 9276,Debt Intolerance: Threshold Level and Composition,3625290,69,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3625290,9276
World Bank Policy Research Working Paper No. 9274,Method Matters: Underreporting of Intimate Partner Violence in Nigeria and Rwanda,3624515,139,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3624515,9274
World Bank Policy Research Working Paper No. 9272,Improved Biomass Cookstove Use in the Longer Run - Results from a Field Experiment in Rural Ethiopia,3622716,28,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3622716,9272
World Bank Policy Research Working Paper No. 9273,Covariate Shocks and Child Undernutrition: A Review of Evidence from Low- and Middle-Income Countries,3622717,27,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3622717,9273
World Bank Policy Research Working Paper No. 9271,Power to the Fiscal? An Exploration of the Use of Credit Ratings to Estimate the Expected Cost of a Guarantee of a Power-Purchase Agreement,3620554,17,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3620554,9271
World Bank Policy Research Working Paper No. 9269,Demand for Safe Spaces: Avoiding Harassment and Stigma,3618734,95,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3618734,9269
World Bank Policy Research Working Paper No. 9270,"The Important Role of Equivalence Scales: Household Size, Composition, and Poverty Dynamics in the Russian Federation",3619560,21,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3619560,9270
World Bank Policy Research Working Paper No. 9264,Applied Services Trade Policy: A Guide to the Services Trade Policy Database and the Services Trade Restrictions Index,3616473,45,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3616473,9264
World Bank Policy Research Working Paper No. 9265,The Evolution of Services Trade Policy Since the Great Recession,3616474,38,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3616474,9265
World Bank Policy Research Working Paper No. 9263,Measuring Employment: Experimental Evidence from Urban Ghana,3616472,40,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3616472,9263
World Bank Policy Research Working Paper No. 9267,"Informality, Consumption Taxes and Redistribution",3616476,69,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3616476,9267
World Bank Policy Research Working Paper No. 9266,Job Creation and Demand for Skills in Kosovo: What Can We Learn from Job Portal Data?,3616475,32,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3616475,9266
World Bank Policy Research Working Paper No. 9268,Winners and Losers from COVID-19: Global Evidence from Google Search,3617347,966,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3617347,9268
World Bank Policy Research Working Paper No. 9262,Analyzing Flooding Impacts on Rural Access to Hospitals and Other Critical Services in Rural Cambodia Using Geo-Spatial Information and Network Analysis,3614143,30,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3614143,9262
World Bank Policy Research Working Paper No. 9259,Measuring Monetary Poverty in the Middle East and North Africa (MENA) Region: Data Gaps and Different Options to Address Them,3614140,31,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3614140,9259
World Bank Policy Research Working Paper No. 9261,The Transformative Effects of Privatization in China: A Natural Experiment Based on Politician Career Concern,3614142,109,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3614142,9261
World Bank Policy Research Working Paper No. 9260,Covid-19 Mortality in Rich and Poor Countries: A Tale of Two Pandemics?,3614141,455,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3614141,9260
World Bank Policy Research Working Paper No. 9258,"Infrastructure, Economic Growth, and Poverty: A Review",3612420,261,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3612420,9258
