upi,first_name,last_name,main,unit,scholar_id,title,author,journal,number,cites,year,cid,pubid
547641,Alejandro Ivan,Molnar,Alejandro Ivan Molnar,DECSI,70o6wssAAAAJ,The marginal congestion of a taxi in New York City,"D Mangrum, A Molnar",,,26,2017,7202821074226020008,2osOgNQ5qMEC
547641,Alejandro Ivan,Molnar,Alejandro Ivan Molnar,DECSI,70o6wssAAAAJ,Congesting the commons: A test for strategic congestion externalities in the airline industry,A Molnar,Working paper,,21,2013,7086697858307128240,d1gkVwhDpl0C
547641,Alejandro Ivan,Molnar,Alejandro Ivan Molnar,DECSI,70o6wssAAAAJ,Language barriers to foreign trade: evidence from translation costs,A Molnar,,,10,2013,14242608198549831042,9yKSN-GCB0IC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Banking sector performance during the covid-19 crisis,"A Demirgüç-Kunt, A Pedraza, C Ruiz-Ortega",Journal of Banking & Finance,106305,59,2021,17820296096468207193,R3hNpaxXUhUC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Asset price effects of peer benchmarking: Evidence from a natural experiment,"A Pedraza, F Pulga",International Review of Economics & Finance,"62, 53-65",18,2019,"3401829691712545848,9730699576039619142",Zph67rFs4hoC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Strategic interactions and portfolio choice in money management: Theory and evidence,A Pedraza,"Journal of Money, Credit and Banking","47 (8), 1531-1569",15,2015,"6526655670787895110,9954700593271506892",u5HHmVD_uO8C
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Active Trading and (Poor) Performance: The Social Transmission Channel,"LM Escobar Pradilla, A Pedraza",World Bank Policy Research Working Paper,,10,2019,"11830679891133146484,13178971418713386346",YOwf2qJgpHMC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Costly index investing in foreign markets,"A Pedraza, F Pulga, J Vasquez",Journal of financial markets,"51, 100509",9,2020,16261955213790329720,MXK_kJrjxJIC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Falling kidnapping rates and the expansion of mobile phones in Colombia,"S Montenegro, Á Pedraza",Documento cede,,9,2009,"15264740784183406388,17219719591700638628",IjCSPb-OGe4C
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Informed trading in business groups,A Pedraza,The World Bank Economic Review,"34 (2), 351-370",8,2020,"1870534915386165700,15810820644753787838",3fE2CSJIrl8C
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Pension funds and the impact of switching regulation on long-term investment,"A Pedraza, O Fuentes, P Searle, F Stewart",World Bank Policy Research Working Paper,,8,2017,14400192869820516306,kNdYIx-mwKoC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Ownership concentration and market liquidity: Evidence from a natural experiment,"M Leaño, A Pedraza",Economics Letters,"167, 56-59",7,2018,7073218172546400312,8k81kl-MbHgC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Winners and Losers When Private Banks Distribute Government Loans: Evidence from Earmarked Credit in Brazil,"JRH Ornelas, A Pedraza, C Ruiz Ortega, T Silva",World Bank Policy Research Working Paper,,4,2019,7743393534536539408,TQgYirikUcIC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,The Impact of Mobile Phones in the Colombian Kidnapping Industry,"A Pedraza, S Montenegro",IDB Publications,,2,2010,9767633009115709178,Y0pCki6q_DkC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Stochastic dynamics of microcavity polaritons,"AE Pedraza, L Quiroga",Solid state communications,"140 (3-4), 172-177",2,2006,10878677916059101776,-f6ydRqryjwC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Credit Allocation When Private Banks Distribute Government Loans,"JRH Ornelas, A Pedraza, C Ruiz-Ortega, TC Silva","Central Bank of Brazil, Research Department Working Papers Series",,1,2021,16974685689926805635,e5wmG9Sq2KIC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Strategic information aggregation and learning from prices,A Pedraza,Journal of Corporate Finance,"58, 208-225",1,2019,5236008624881241424,_kc_bZDykSQC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,The Anatomy of Index Rebalancings: Evidence from Transaction Data,"M Escobar, L Pandolfi, A Pedraza, T Williams",Policy Research Working Paper Series,,0,2021,NA,j3f4tGmQtD8C
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,The Anatomy of Index Rebalancings,"M Escobar, L Pandolfi, A Pedraza, T Williams","World Bank, Washington, DC",,0,2021,NA,iH-uZ7U-co4C
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Estimating the Gains from International Diversification,"JP Afanador, R Davis, A Pedraza","World Bank, Washington, DC",,0,2021,NA,4JMBOYKVnBMC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Winners and Losers When Private Banks Distribute Government Loans: Evidence from Earmarked Credit in Brazil,"JR Haas Ornelas, AE Pedraza Morales, C Ruiz Ortega, T Silva",Policy Research Working Paper Series,,0,2019,NA,mB3voiENLucC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Locking-In Firms: Loan Conditions in the Presence of Government-Driven Credit,"JRH Ornelas, A Pedraza, C Ruiz-Ortega, TC Silva",The World Bank,,0,2019,NA,4TOpqqG69KYC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Locking-In Firms,"JR Haas Ornelas, A Pedraza, C Ruiz-Ortega, T Silva","World Bank, Washington, DC",,0,2019,NA,_Qo2XoVZTnwC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Do foreign investors underperform? An empirical decomposition into style and flows,"A Pedraza, F Pulga, J Vasquez, AE Pedraza Morales",An Empirical Decomposition into Style and Flows (March,"13, 2017). World Bank …",0,2017,NA,hqOjcs7Dif8C
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Natural Experiment Sheds Light on the Market Effects of Herding,"S Acharya, A Pedraza",Liberty Street Economics,,0,2015,NA,qUcmZB5y_30C
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Strategic interactions and portfolio choice in money management: theory and evidence,AE Pedraza Morales,"Journal of Money, Credit and Banking",1-58,0,2015,NA,HDshCWvjkbEC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Strategic information revelation and capital allocation,A Pedraza,World Bank Policy Research Working Paper,,0,2014,NA,RHpTSmoSYBkC
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,DINÁMICA DE BOSONES INTERACTUANTES,"A Pedraza, L Quiroga",REVISTA COLOMBIANA DE FISICA,35 (1),0,2003,NA,hFOr9nPyWt4C
468173,Alvaro Enrique,Pedraza morales,Alvaro Enrique Pedraza morales,DECFP,D39hlkkAAAAJ,Asset Price Effects of Peer Benchmarking,A PEDRAZA,,,0,NA,NA,hC7cP41nSMkC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"Trade policy, trade volumes and plant-level productivity in Colombian manufacturing industries",AM Fernandes,Journal of International Economics,"71 (1), 52-71",757,2007,"7337404790542968991,16618798781815825251",u5HHmVD_uO8C
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Openness and technological innovations in developing countries: evidence from firm-level surveys,"R Almeida, AM Fernandes",The Journal of Development Studies,"44 (5), 701-727",403,2008,17384969650616232629,9yKSN-GCB0IC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Learning-by-Exporting Effects: Are They for Real?,"AM Fernandes, AE Isgut",Emerging Markets Finance and Trade,"51 (1), 65-89",373,2015,"15238450810367115520,16107238657675292308,9045675974731049790,7104782343664144290",CMvovTBb2okC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Foreign Direct Investment in Services and Manufacturing Productivity: Evidence for Chile,"AM Fernandes, C Paunov",Journal of Development Economics,,352,2011,"1699644388820020862,9932641859699848376",UeHWp8X0CEIC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,"Exporter behavior, country size and stage of development: Evidence from the exporter dynamics database","AM Fernandes, C Freund, MD Pierola",Journal of Development Economics,"119, 121-137",258,2016,"5941842916715451640,17195633080725035057",wGzT3bKASkAC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Understanding Cross-Country Differences in Exporter Premia: Comparable Evidence for 14 Countries,ISGE ISGEP),Review of World Economics,"144 (4), 596-635",204,2008,"10873245077829272807,2544556674527807697,3629373230346815898,1385430705278006469,17289160138027883449,16372132477752080381",HDshCWvjkbEC
234491,Ana Margarida,Fernandes,Ana Margarida Fernandes,DECTI,BCMjtSMAAAAJ,Firm Productivity in Bangladesh Manufacturing Industries,AM Fernandes,World Development,"36 (10), 1725-1744",169,2008,14897336711997405102,eQOLeE2rZwMC
