handle,citation,dsoid,abstract_views,downloads,scraping_date
10986/7154,"Hanushek, Eric A.; Woessmann, Ludger. 2007. The Role of Education Quality for Economic Growth. Policy Research Working Paper; No. 4122. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7154 License: CC BY 3.0 IGO.”",7004,25691.0,123830.0,11/15/2021 12:37:54
10986/4061,"Bhattacharyya, Subhes C.; Timilsina, Govinda R.. 2009. Energy Demand Models for Policy Formulation : A Comparative Study of Energy Demand Models. Paper is funded by the Knowledge for Change            Program (KCP),Policy Research working paper ; no. WPS 4866. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4061 License: CC BY 3.0 IGO.”",3933,1566.0,55599.0,11/15/2021 12:37:56
10986/3928,"Schneider, Friedrich; Buehn, Andreas; Montenegro, Claudio E.. 2010. Shadow Economies All over the World : New Estimates for 162 Countries from 1999 to 2007. Policy Research working paper ; no. WPS 5356. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3928 License: CC BY 3.0 IGO.”",3800,2510.0,50400.0,11/15/2021 12:37:58
10986/4154,"Beck, Thorsten; Demirgüç-Kunt, Asli; Levine, Ross. 2009. Financial Institutions and Markets across Countries and over Time :Data and Analysis. Policy Research Working Paper ; No. 4943. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4154 License: CC BY 3.0 IGO.”",4026,4479.0,48654.0,11/15/2021 12:38:00
10986/4042,"Kenny, Charles. 2009. Why Do People Die in Earthquakes? The Costs, Benefits and Institutions of Disaster Risk Reduction in Developing Countries. Policy Research working paper ; no. WPS 4823. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4042 License: CC BY 3.0 IGO.”",3914,871.0,32511.0,11/15/2021 12:38:02
10986/4170,"Kaufmann, Daniel; Kraay, Aart; Mastruzzi, Massimo. 2009. Governance Matters VIII : Aggregate and Individual Governance Indicators 1996–2008. Policy Research working paper ; no. WPS 4978. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4170 License: CC BY 3.0 IGO.”",4042,2059.0,26806.0,11/15/2021 12:38:04
10986/23464,"Bird, Richard M.. 2015. Tobacco and Alcohol Excise Taxes for Improving Public Health and Revenue Outcomes : Marrying Sin and Virtue?. Policy Research Working Paper;No. 7500. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/23464 License: CC BY 3.0 IGO.”",30172,1126.0,24509.0,11/15/2021 12:38:07
10986/13170,"Bandiera, Oriana; Natraj, Ashwini. 2013. Does Gender Inequality Hinder Development and Economic Growth? Evidence and Policy Implications. Policy Research Working Paper;No. 6369. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13170 License: CC BY 3.0 IGO.”",13725,25819.0,23246.0,11/15/2021 12:38:09
10986/3929,"Beck, Thorsten; Demirgüç-Kunt, Asli; Merrouche, Ouarda. 2010. Islamic vs. Conventional Banking : Business Model, Efficiency and Stability. Policy Research Working Paper ; No. 5446. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3929 License: CC BY 3.0 IGO.”",3801,6267.0,35842.0,11/15/2021 12:38:10
10986/6042,"Demirguc-Kunt, Asli; Klapper, Leora. 2012. Measuring Financial Inclusion : The            Global Findex Database. Policy Research Working Paper ; No. 6025. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/6042 License: CC BY 3.0 IGO.”",5891,16251.0,21033.0,11/15/2021 12:38:12
